Date,Country,Status,AQI Value
29-06-2023,Nepal,Good,30
29-06-2023,Netherlands,Moderate,69
29-06-2023,New Zealand,Good,41
29-06-2023,Nigeria,Moderate,94
29-06-2023,Norway,Good,36
29-06-2023,Pakistan,Moderate,66
29-06-2023,Palestinian Territory,Moderate,56
29-06-2023,Peru,Moderate,57
29-06-2023,Philippines,Good,38
29-06-2023,Poland,Moderate,66
29-06-2023,Portugal,Good,25
29-06-2023,Puerto Rico,Good,4
29-06-2023,Qatar,Moderate,86
29-06-2023,Reunion,Good,27
29-06-2023,Romania,Moderate,72
29-06-2023,Russia,Moderate,65
29-06-2023,San Marino,Moderate,53
29-06-2023,Saudi Arabia,Moderate,55
29-06-2023,Senegal,Moderate,53
29-06-2023,Serbia,Moderate,63
29-06-2023,Singapore,Good,31
29-06-2023,Slovakia,Good,29
29-06-2023,Slovenia,Good,25
29-06-2023,South Africa,Unhealthy for Sensitive Groups,126
29-06-2023,South Korea,Moderate,71
29-06-2023,Spain,Unhealthy for Sensitive Groups,118
29-06-2023,Sri Lanka,Good,48
29-06-2023,Sweden,Good,39
29-06-2023,Switzerland,Good,37
29-06-2023,Taiwan,Moderate,98
29-06-2023,Tajikistan,Moderate,82
29-06-2023,Thailand,Moderate,79
29-06-2023,Togo,Moderate,69
29-06-2023,Trinidad and Tobago,Good,18
29-06-2023,Turkey,Unhealthy,185
29-06-2023,Turkmenistan,Moderate,89
29-06-2023,Uganda,Unhealthy,159
29-06-2023,Ukraine,Moderate,59
29-06-2023,United Arab Emirates,Unhealthy for Sensitive Groups,116
29-06-2023,United Kingdom of Great Britain and Northern Ireland,Good,49
29-06-2023,United States of America,Very Unhealthy,249
29-06-2023,Uzbekistan,Moderate,53
29-06-2023,Vatican,Moderate,55
29-06-2023,Venezuela,Good,1
29-06-2023,Vietnam,Moderate,99
29-06-2023,Zambia,Moderate,77
06-07-2023,Albania,Good,18
06-07-2023,Algeria,Moderate,68
06-07-2023,Andorra,Good,16
06-07-2023,Angola,Unhealthy for Sensitive Groups,111
06-07-2023,Argentina,Good,20
06-07-2023,Armenia,Good,45
06-07-2023,Australia,Good,41
06-07-2023,Austria,Good,25
06-07-2023,Azerbaijan,Good,49
06-07-2023,Bahrain,Unhealthy for Sensitive Groups,134
06-07-2023,Bangladesh,Moderate,92
06-07-2023,Belarus,Moderate,67
06-07-2023,Belgium,Good,35
06-07-2023,Belize,Good,22
06-07-2023,Bermuda,Good,5
06-07-2023,Bolivia,Moderate,64
06-07-2023,Bosnia and Herzegovina,Moderate,76
06-07-2023,Brazil,Unhealthy for Sensitive Groups,120
06-07-2023,Brunei,Good,10
06-07-2023,Bulgaria,Good,26
06-07-2023,Burkina Faso,Moderate,100
06-07-2023,Cambodia,Good,48
06-07-2023,Canada,Moderate,79
06-07-2023,Cape Verde,Good,47
06-07-2023,Cayman Islands,Good,1
06-07-2023,Chile,Unhealthy,175
06-07-2023,China,Unhealthy for Sensitive Groups,136
06-07-2023,Colombia,Moderate,61
06-07-2023,Costa Rica,Good,20
06-07-2023,Croatia,Good,17
06-07-2023,Cyprus,Moderate,78
06-07-2023,Czech Republic,Moderate,58
06-07-2023,Denmark,Good,16
06-07-2023,Dominican Republic,Good,49
06-07-2023,Ecuador,Good,39
06-07-2023,Egypt,Moderate,90
06-07-2023,El Salvador,Moderate,75
06-07-2023,Estonia,Good,17
06-07-2023,Ethiopia,Unhealthy for Sensitive Groups,144
06-07-2023,Finland,Good,29
06-07-2023,France,Moderate,52
06-07-2023,French Guiana,Good,7
06-07-2023,Gabon,Unhealthy for Sensitive Groups,137
06-07-2023,Georgia,Good,44
06-07-2023,Germany,Good,44
06-07-2023,Ghana,Moderate,57
06-07-2023,Gibraltar,Moderate,52
06-07-2023,Greece,Moderate,51
06-07-2023,Grenada,Good,40
06-07-2023,Guadeloupe,Good,29
06-07-2023,Guam,Good,2
06-07-2023,Guatemala,Moderate,59
06-07-2023,Honduras,Good,23
06-07-2023,Hong Kong,Good,39
06-07-2023,Iceland,Good,7
06-07-2023,India,Unhealthy,158
06-07-2023,Indonesia,Moderate,93
06-07-2023,Iran,Unhealthy,175
06-07-2023,Ireland,Good,17
06-07-2023,Israel,Moderate,70
06-07-2023,Italy,Good,48
06-07-2023,Ivory Coast,Good,21
06-07-2023,Japan,Unhealthy for Sensitive Groups,106
06-07-2023,Jersey,Good,35
06-07-2023,Jordan,Good,34
06-07-2023,Kazakhstan,Very Unhealthy,226
06-07-2023,Kenya,Moderate,87
06-07-2023,Kosovo,Good,29
06-07-2023,Kuwait,Moderate,96
06-07-2023,Kyrgyzstan,Good,43
06-07-2023,Laos,Good,28
